,Release Date,Season,Episode,title,Name,text
111,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I promise.
112,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: D'you know what?
113,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: What?
114,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: You always look at your feet before you lie. Run and find your father. Tell him the king is close.
115,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Where's Arya? Sansa, where's your sister?"
116,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]"
117,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Move!
118,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Your Grace.
119,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: You've got fat.
120,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Cat!
121,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Your Grace.
122,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Nine years. Why haven't I seen you? Where the hell have you been?
123,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Guarding the North for you, Your Grace. Winterfell is yours."
124,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Where's the Imp?
125,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Will you shut up?
126,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: Who have we here? You must be Robb. My, you're a pretty one. Your name is?"
127,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Arya.
128,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Ooh. Show us your muscles. You'll be a soldier.
129,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: That's Jaime Lannister. The queen's twin brother.
130,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Would you please shut up.
131,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: My queen.
132,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: My queen.
133,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Take me to your crypt. I want to pay my respects.
134,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: We've been riding for a month, my love. Surely the dead can wait."
135,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Ned.
136,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Where is our brother? Go find the little beast.
137,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Tell me about Jon Arryn.
138,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
139,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: We both did.
140,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
141,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Aye.
142,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
143,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I'm not worthy of the honor.
144,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses."
145,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Mmh. It is true what they say about the Northern girls.
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: Did you hear the king's in Winterfell?
147,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: I did hear something about that.
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
149,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: And the other brother?
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: The queen has two brothers?
151,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: There's the pretty one. And there's the clever one.
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: I hear they call him the Imp.
153,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: I hear he hates that nickname.
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.
155,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Clever girl.
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"ros: We've been expecting you, Lord Tyrion."
157,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Have you?
158,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: The gods gave me one blessing.
159,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Don't get up.
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,ros: M'lord.
161,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: Should I explain to you the meaning of a closed door in a whorehouse, brother?"
162,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: You've much to teach me, no doubt. But our sister craves your attention."
163,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: She has odd cravings, our sister."
164,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
165,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: I'm sorry, I've begun the feast a bit early. And this is the first of many courses."
166,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: I thought you might say that. But since we're short on time, Come on, girls. See you at sundown."
167,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Close the door!
168,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
169,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: She was my sister. This is where she belongs.
170,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: She belonged with me.
171,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,"baratheon: In my dreams, I kill him every night."
172,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: It's done, Your Grace. The Targaryens are gone."
173,2011-04-17,Season 1,Episode 1,Winter is Coming,baratheon,baratheon: Not all of them.
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Daenerys!
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?
176,2011-04-17,Season 1,Episode 1,Winter is Coming,targaryen,targaryen: We've been his guests for over a year and he's never asked us for anything.
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"viserys: Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?"
178,2011-04-17,Season 1,Episode 1,Winter is Coming,targaryen,targaryen: No.
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"viserys: When they write the history of my reign, sweet sister, they will say it began today."
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"maid: It's too hot, my lady."
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Where is he?
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: The Dothraki are not known for their punctuality.
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"illyrio: May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"viserys: Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen."
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"illyrio: Come forward, my dear."
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Where's he going?
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: The ceremony is over.
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: But he didn't say anything. Did he like her?
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"illyrio: Trust me, Your Grace. If he didn't like her, we'd know."
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: When will they be married?
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: Soon. The Dothraki never stay still for long.
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Is it true they lie with their horses?
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: I wouldn't ask Khal Drogo.
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: Do you take me for a fool?
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,illyrio: I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,viserys: I know how to play a man like Drogo. I give him a queen and he gives me an army.
198,2011-04-17,Season 1,Episode 1,Winter is Coming,targaryen,targaryen: I don't want to be his queen. I want to go home.
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"viserys: So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
200,2011-04-17,Season 1,Episode 1,Winter is Coming,targaryen,targaryen: I don't know.
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"viserys: We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took."
202,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Do you think Joffrey will like me? What if he thinks I'm ugly?
203,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Then he is the stupidest prince that ever lived.
204,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: He's so handsome.
205,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: When would we be married? Soon or do we have to wait?
206,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Hush now. Your father hasn't even said yes.
207,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Why would he say no? He'd be the second most powerful man in the kingdoms.
208,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: He'd have to leave home. He'd have to leave me. And so would you.
209,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: You left your home to come here. And I'd be queen someday. Please make father say yes.
210,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Sansa…
211,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Please, please. It's the only thing I ever wanted."
212,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: Is he dead yet?
213,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Uncle Benjen!
214,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?
215,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Lady Stark thought it might insult the royal family to seat a bastard in their midst.
216,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"benjen: Well, you're always welcome on the wall. No bastard was ever refused a seat there."
217,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: So take me with you when you go back.
218,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: Jon…
219,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,"snow: Father will let me if you ask him, I know he will."
220,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: The Wall isn't going anywhere.
221,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: I'm ready to swear your oath.
222,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: You don't understand what you'd be giving up. We have no families. None of us will ever father sons.
223,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: I don't care about that.
224,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"benjen: You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later."
225,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Your uncle's in the Night's Watch.
226,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: What're you doing back there?
227,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Preparing for a night with your family. I've always wanted to see the Wall.
228,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: You're Tyrion Lannister. The queen's brother?
229,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
230,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: Did I offend you? Sorry. You are the bastard, though."
231,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Lord Eddard Stark is my father.
232,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
233,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: What the hell do you know about being a bastard?
234,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: All dwarves are bastards in their fathers' eyes.
235,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: You at a feast -- It's like a bear in a trap.
236,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: The boy I beheaded. Did you know him?
237,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"benjen: Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
238,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: He was talking madness. Said the Walkers slaughtered his friends.
239,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: The two he was with are still missing.
240,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: A wildling ambush.
241,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
242,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Winter is coming.
243,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Uncle Benjen.
244,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,benjen: Robb boy. How are ye?
245,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I'm good.
246,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Is this your first time in the North, Your Grace?"
247,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: Yes. Lovely country.
248,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
249,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: Hello, little dove. But you are a beauty. How old are you?"
250,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Thirteen, Your Grace."
251,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: You're tall. Still growing?
