nodeA,nodeB,weight
jon snow,leg,1
sam tarly,samwell tarly,1
sam,sam tarly,2
sam,sam,2
jorah mormont,vaes dothrak,1
khal drogo,viserys targaryen,1
jorah mormont,robert,3
jorah mormont,ned stark,2
doreah,grace,1
septa mordane,westeros,1
jeyne poole's,sansa stark,1
joffrey,septa mordane,1
hando,janos slynt,1
janos slynt,stark ser,1
hand ser,janos slynt,1
grand maester pycelle,jon,1
amaryllis umber,eddard stark,1
eddard stark,jon,1
arya stark,bran,3
jon snow,sam,24
petyr baelish,vale,11
jon arryn's,petyr baelish,2
jon arryn's,vale,2
petyr baelish,spider,1
petyr baelish,ser hugh,1
jory cassel,ser hugh,2
ser hugh,ser hugh,2
hugh of vale,ser,1
arryn,eddard stark,1
jory cassel,stark,2
greyjoys,jory cassel,1
jaime lannister,thoros,1
greyjoy,jaime lannister,1
jon snow,thorne,1
sam,thorne,1
rast,thorne,1
lady piggy,rast,1
lady piggy,thorne,1
daenerys targaryen,hush,1
daenerys targaryen,irri,2
hush,irri,1
jon snow,sally,1
jon snow,ros,2
jon snow,sam tarly,1
jon snow,snow,4
ros,snow,1
alliser thorne,mance rayder,2
alliser thorne,eastwatch,1
eastwatch,mance rayder,2
mance rayder,mance rayder,2
lover,petyr baelish,1
arya stark,littlefinger,2
fingers,petyr baelish,1
hound,petyr baelish,3
gregor,petyr baelish,4
hound,hound,4
gregor,hound,8
gregor,gregor,6
cersei lannister,sansa,4
lady stark,masha heddle,1
catelyn stark,catelyn tully,1
catelyn stark,lady whent,1
catelyn stark,hoster tully,1
hoster tully,lady whent,1
catelyn stark,jonas bracken,1
catelyn stark,king robert,1
eddard stark,ser hugh,3
barristan selmy,stark,1
barristan selmy,the mad king,1
hando,robert baratheon,1
eddard stark,lannister,2
cersei,robert baratheon,1
jon arryn,robert baratheon,2
cersei lannister,robert baratheon,2
king,robert baratheon,1
cersei,jon arryn,1
cersei,cersei lannister,1
cersei,king,1
jon arryn,king,1
cersei lannister,king,1
lys,petyr baelish,1
littlefinger,renly baratheon,1
imp,marillion,1
shadowcat,tyrion lannister,1
tyrion lannister,vale,6
lady stark,vale,2
catelyn stark,lannister,1
catelyn stark,rodrik,1
bran stark,lords - the baratheons,1
house martell,maester luwin,1
dothraki,maester luwin,1
theon greyjoy,westeros,1
stark,theon greyjoy,8
robert,ros,1
varys,varys,1
jon arryn,varys,3
lys,varys,2
jon arryn,lys,1
illyrio mopatis,khal drogo,1
delay,varys,1
redwyne,varys,1
ned stark,petyr baelish,2
starks,varys,1
stark,starks,2
arya stark,arya stark,6
arya stark,winterfell,7
yoren,yoren,1
benjen,eddard stark,1
benjen,yoren,1
lady stark,vardis egen,1
vale,vardis egen,1
lady arryn,vardis egen,1
lady arryn,vale,2
stark,steward,1
daenerys targaryen,steward,1
honor,robert baratheon,1
eddard stark,the mad king,1
ser jorah mormont,varys,1
eddard stark,mormont,1
jorah mormont's,petyr baelish,1
robert baratheon,speak,1
dothraki,grand maester pycelle,1
baelish,jory cassel,1
grace,petyr baelish,5
jon arryn,petyr baelish,1
heward,jory cassel,1
lysa arryn,robin,1
lysa arryn,vale,4
robin,vale,6
mommy,robin arryn,2
jon arryn,lysa arryn,1
jon arryn,vale,3
jaime,tyrion lannister,5
lysa arryn,shh,1
lysa arryn,ser vardis,2
loras tyrell,stark,1
renly baratheon,robert,6
loras tyrell,renly baratheon,1
renly baratheon,the knight of the,1
loras tyrell,the knight of the,1
loras tyrell,robert,1
joffrey,loras tyrell,1
joffrey,robert,7
cersei lannister,ned stark,5
cersei lannister,dothraki,7
robert baratheon,viserys targaryen,2
viserys targaryen,viserys targaryen,1
dothraki,dothraki,6
ned stark,robert baratheon,2
cersei lannister,lyanna stark's,1
petyr baelish,robert,2
lannister,petyr baelish,3
jaime lannister,threaten,1
jaime lannister,starks,2
starks,threaten,1
eddard stark,hand -,1
catelyn,robert baratheon,1
eddard stark,jaime lannister,1
bran stark,dancer,1
kingslayer,theon greyjoy,1
bran stark,brandon stark,5
bran stark,winterfell,1
brandon stark,winterfell,1
benjen stark's,osha,1
mance,osha,1
benjen stark's,mance,1
dorne,wildling,1
bran,theon greyjoy,3
turnkey,tyrion lannister,1
lady arryn,tyrion lannister,1
lady arryn,lannister,1
lysa arryn,speak,1
imp,lysa arryn,1
imp,speak,1
bran,jon arryn,1
robin,tyrion lannister,1
imp,ser vardis,2
jaime lannister,tyrion lannister,1
kingslayer,lysa arryn,1
barriston,grace,1
renly baratheon,westeros,1
renly baratheon,the mad king,1
the mad king,westeros,1
grace,man,1
hand,man,1
man,taller,1
hand,taller,1
grand maester pycelle,wel,1
eddard stark,gregor clegane,1
eddard stark,inform tywin,1
lady greyjoy,ros,1
jaime lannister,ros,1
ros,stark,1
ros,steffon,1
jaime lannister,steffon,1
stark,steffon,1
prince joffrey,sansa stark,1
eddard stark,orys baratheon,1
axel baratheon,eddard stark,1
eddard stark,robert baratheon,1
eddard stark,joffrey baratheon,1
axel baratheon,orys baratheon,1
orys baratheon,robert baratheon,1
joffrey baratheon,orys baratheon,1
axel baratheon,robert baratheon,1
axel baratheon,joffrey baratheon,1
joffrey baratheon,robert baratheon,1
gregor clegane,jaime lannister,1
catelyn stark,jaime lannister,4
ned stark,tywin lannister,1
kingslayer,tywin lannister,1
balon greyjoy,theon greyjoy,6
ranger,sam tarly,1
jon snow,uncle benjen's,1
barristan,lord varys,1
daenerys targaryen,eddard stark,1
daenerys targaryen,grace,1
aegon,jorah mormont,1
jorah the andal,little bird,1
westeros,wine merchant,1
sweet,wine merchant,1
ser,wine merchant,1
