nodeA,nodeB,weight
Jorah the Andal,Khal Bharbo,1
Qohor,jorah mormont,1
Vaes Dothrak,rhakaro,1
Maester Aemon,tyrion lannister,1
Starks,maester aemon,1
Ned Stark,jeor mormont,1
Lannister,jon snow,2
Snow,tyrion lannister,1
Farewell,jon snow,1
Syrio Forel,syrio forel,2
Westeros,syrio forel,1
Lannister,robb stark,3
Kneel,bran stark,1
Hodor,bran stark,25
Hodor,Kneel,1
Stark,tyrion lannister,10
Greyjoy,tyrion lannister,2
Balon Greyjoy,tyrion lannister,1
Imp,theon greyjoy,2
Leg,jon snow,1
Samwell Tarly,sam tarly,1
Sam,sam tarly,2
Sam,Sam,2
Vaes Dothrak,jorah mormont,1
Khal Drogo,viserys targaryen,1
Robert,jorah mormont,3
Ned Stark,jorah mormont,2
Grace,doreah,1
Westeros,septa mordane,1
Jeyne Poole's,sansa stark,1
Joffrey,septa mordane,1
Hando,janos slynt,1
Stark Ser,janos slynt,1
Hand Ser,janos slynt,1
Jon,grand maester pycelle,1
Amaryllis Umber,eddard stark,1
Jon,eddard stark,1
Bran,arya stark,3
Sam,jon snow,23
Vale,petyr baelish,11
Jon Arryn's,petyr baelish,2
Jon Arryn's,Vale,2
Spider,petyr baelish,1
Ser Hugh,petyr baelish,1
Ser Hugh,jory cassel,2
Ser Hugh,Ser Hugh,2
Ser,hugh of vale,1
Arryn,eddard stark,1
Stark,jory cassel,2
Greyjoys,jory cassel,1
Thoros,jaime lannister,1
Greyjoy,jaime lannister,1
Thorne,jon snow,1
Sam,Thorne,1
Thorne,rast,1
Lady Piggy,rast,1
Lady Piggy,Thorne,1
Hush,daenerys targaryen,1
Irri,daenerys targaryen,2
Hush,Irri,1
Sally,jon snow,1
Ros,jon snow,2
Jon Snow,sam tarly,1
Snow,jon snow,2
Ros,Snow,1
Mance Rayder,alliser thorne,2
Eastwatch,alliser thorne,1
Eastwatch,Mance Rayder,2
Mance Rayder,Mance Rayder,2
Lover,petyr baelish,1
Littlefinger,arya stark,2
Fingers,petyr baelish,1
Hound,petyr baelish,3
Gregor,petyr baelish,4
Hound,Hound,4
Gregor,Hound,8
Gregor,Gregor,6
Sansa,cersei lannister,4
Lady Stark,masha heddle,1
Catelyn Tully,catelyn stark,1
Lady Whent,catelyn stark,1
Hoster Tully,catelyn stark,1
Hoster Tully,Lady Whent,1
Jonas Bracken,catelyn stark,1
King Robert,catelyn stark,1
Ser Hugh,eddard stark,3
Stark,barristan selmy,1
barristan selmy,the Mad King,1
Hando,robert baratheon,1
Lannister,eddard stark,2
Cersei,robert baratheon,1
Jon Arryn,robert baratheon,1
Cersei Lannister,robert baratheon,1
King,robert baratheon,1
Cersei,Jon Arryn,1
Cersei,Cersei Lannister,1
Cersei,King,1
Cersei Lannister,Jon Arryn,1
Jon Arryn,King,1
Cersei Lannister,King,1
Lys,petyr baelish,1
Littlefinger,renly baratheon,1
Imp,marillion,1
Shadowcat,tyrion lannister,1
Vale,tyrion lannister,6
Lady Stark,Vale,2
Lannister,catelyn stark,1
Rodrik,catelyn stark,1
Lords - the Baratheons,bran stark,1
House Martell,maester luwin,1
Dothraki,maester luwin,1
Westeros,theon greyjoy,1
Stark,theon greyjoy,8
Robert,ros,1
Varys,varys,1
Jon Arryn,varys,3
Lys,varys,2
Jon Arryn,Lys,1
Khal Drogo,illyrio mopatis,1
Delay,varys,1
Redwyne,varys,1
Ned Stark,petyr baelish,2
Starks,varys,1
Stark,Starks,2
Arya Stark,arya stark,6
Winterfell,arya stark,5
Arya Stark,Winterfell,2
Yoren,yoren,1
Benjen,eddard stark,1
Benjen,yoren,1
Lady Stark,vardis egen,1
Vale,vardis egen,1
Lady Arryn,vardis egen,1
Lady Arryn,Vale,2
Stark,steward,1
Daenerys Targaryen,steward,1
Honor,robert baratheon,1
eddard stark,the Mad King,1
Ser Jorah Mormont,varys,1
Mormont,eddard stark,1
Jorah Mormont's,petyr baelish,1
Speak,robert baratheon,1
Dothraki,grand maester pycelle,1
Baelish,jory cassel,1
Grace,petyr baelish,5
Jon Arryn,petyr baelish,1
Heward,jory cassel,1
Robin,lysa arryn,1
Vale,lysa arryn,4
Robin,Vale,2
Mommy,robin arryn,2
Jon Arryn,lysa arryn,1
Jon Arryn,Vale,3
Jaime,tyrion lannister,5
Shh,lysa arryn,1
Ser Vardis,lysa arryn,2
Stark,loras tyrell,1
Robert,renly baratheon,6
